lon,lat,alt,prcp,fitted_values,residuals,local_r2,intercept_coef,altitude_coef,intercept_se,altitude_se,intercept_t,altitude_t
109.733,31.9,974,0.0,0.0003730045362888251,-0.0003730045362888251,0.9683498085160501,-0.0027900631257362406,3.247502733085283e-6,2.897191795140853e-5,1.0e-5,-96.30232732315866,0.3247502733085283
109.65,31.867,1284,0.0,0.0024305065599732317,-0.0024305065599732317,0.9690711907242225,-0.008425555516535645,8.454877006626852e-6,3.688327944883947e-5,1.0e-5,-228.4383504515284,0.8454877006626851
109.767,31.783,1853,0.0,0.059056715689149136,-0.059056715689149136,0.8912906885521822,-0.06898859148923714,6.91016228701491e-5,3.3551386006306134e-5,1.0e-5,-2056.206902339904,6.910162287014909
109.683,31.8,1216,0.0,0.008598260261767826,-0.008598260261767826,0.8576868224251981,-0.052053640818010054,4.987820812481733e-5,3.6548831696855e-5,1.0e-5,-1424.2217439330416,4.987820812481733
109.739,31.899,747,0.0,-0.00036032001297803045,0.00036032001297803045,0.12953934352901386,-0.0028424132749161235,3.3227486772932973e-6,2.872368298503032e-5,1.0e-5,-98.95713152096408,0.3322748677293297
109.617,32.233,693,0.0,5.318930957085997e-12,-5.318930957085997e-12,-1344.3017659256154,-9.049046838989878e-11,1.3825310151080055e-13,4.2056291073007316e-5,1.0e-5,-2.1516511818127877e-6,1.3825310151080053e-8
109.95,32.1,515,0.0,-2.9208744427287787e-9,2.9208744427287787e-9,-61.13979770227754,-5.8575198746338574e-8,1.080666491332229e-10,2.5267197457403473e-5,1.0e-5,-0.0023182309334102906,1.0806664913322289e-5
109.967,32.033,1047,0.0,1.0017188296557315e-6,-1.0017188296557315e-6,-13.286652826055962,-1.5259264615587125e-6,2.4141788836814174e-9,2.7501266612519425e-5,1.0e-5,-0.055485679371002634,0.00024141788836814173
109.933,32.1,383,0.0,-2.3689173302653667e-8,2.3689173302653667e-8,-59.82400416100618,-8.04176586489044e-8,1.4811614972911418e-10,2.537382082003716e-5,1.0e-5,-0.0031693160923324686,1.4811614972911417e-5
109.928,32.103,407,0.0,-1.831877820402224e-8,1.831877820402224e-8,-63.711682526655636,-7.417061441768846e-8,1.3722809880507672e-10,2.535666078395618e-5,1.0e-5,-0.002925093925009958,1.372280988050767e-5
109.657,32.484,623,0.0,1.2701161117758267e-7,-1.2701161117758267e-7,0.9999998423653772,8.890680127812736e-7,-1.2232044969561652e-9,5.511897202345642e-5,1.0e-5,0.01612998174934979,-0.00012232044969561653
109.7,32.5,840,0.0,-5.791566262453629e-7,5.791566262453629e-7,0.9999993259713275,4.682243057753447e-6,-6.263571052379536e-9,6.0765766070139085e-5,1.0e-5,0.07705396246216913,-0.0006263571052379536
110.117,32.4,897,0.0,-0.00026783554362179397,0.00026783554362179397,0.9999795634968406,0.0021461542106416326,-2.691181442880074e-6,4.081795676304986e-5,1.0e-5,52.57867813178787,-0.2691181442880074
110.317,32.167,765,0.0,4.29451134538718e-5,-4.29451134538718e-5,0.9999933021617671,0.00027877495706897775,-3.0827430537922347e-7,3.1781788935056017e-5,1.0e-5,8.771531320613699,-0.030827430537922345
110.15,32.55,886,0.0,-0.050369320846960663,0.050369320846960663,0.9962423461765443,1.4820387412469023,-0.0017295802055235473,5.422785717181705e-5,1.0e-5,27329.841497353835,-172.95802055235472
110.15,32.417,625,0.0,0.001658912858755436,-0.001658912858755436,0.9248207789119217,0.007507827422468585,-9.358263301941039e-6,4.062606835083352e-5,1.0e-5,184.8031997000898,-0.9358263301941038
110.217,32.083,448,0.0,3.6559917309882546e-6,-3.6559917309882546e-6,0.9990918350059168,6.320551103361432e-6,-5.947677170475842e-9,2.5982705039599286e-5,1.0e-5,0.24325993362617604,-0.0005947677170475841
110.15,32.167,345,0.0,3.746740444108651e-8,-3.746740444108651e-8,-2.482052074337291,1.901676084535311e-8,5.348012636444463e-11,2.5509531246850966e-5,1.0e-5,0.0007454766871774894,5.348012636444463e-6
110.152,32.212,264,0.0,4.3063929523089215e-8,-4.3063929523089215e-8,-5.432165991306908,2.8661605518237622e-8,5.4554257594134815e-11,2.6708057788147733e-5,1.0e-5,0.001073144507383716,5.455425759413481e-6
110.05,32.367,605,0.0,2.6131301272604057e-5,-2.6131301272604057e-5,0.15633642509833434,0.00011772947617332366,-1.514019419846605e-7,4.132713396029062e-5,1.0e-5,2.848721043333046,-0.015140194198466048
110.267,32.283,618,0.0,3.929717952977603e-6,-3.929717952977603e-6,0.7902555009334512,1.4427115083133094e-5,-1.6986079498633482e-8,3.601649573160293e-5,1.0e-5,0.4005696498250361,-0.0016986079498633481
